AdminName,GeoRegion,GeoSubreg,IncomeGrp,LendCat,VarDesc,UrbanPop,RuralPop,TotalPop,UrbanLA,RuralLA,TotalLA
Madagascar,Africa,Eastern Africa,Low income,IDA,Elevation between 200 and 400 meters,79.6050442979,45416.9536237,45496.558668,83.0363334417,103872.315849,103955.352183
Eritrea,Africa,Eastern Africa,Low income,IDA,Elevation between 10 and 25 meters,26.5596634019,27570.4963903,27597.0560537,3.11525152379,3400.3420145,3403.45726602
Somalia,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,1.89792328328,1583.64934943,1585.54727271,7.62053585052,8932.74806005,8940.3685959
Madagascar,Africa,Eastern Africa,Low income,IDA,Elevation between 5 and 10 meters,55573.5534897,400526.380203,456099.933692,147.883493252,11308.0816193,11455.9651126
Guinea,Africa,Western Africa,Low income,IDA,Elevation between 10 and 25 meters,4802.95265439,3737.75196202,8540.70461642,124.730107158,3010.68422054,3135.4143277
Somalia,Africa,Eastern Africa,Low income,IDA,Elevation between 200 and 400 meters,171.227148622,49861.6178767,50032.8450254,317.150219738,154776.448103,155093.598323
Liberia,Africa,Western Africa,Low income,IDA,Elevation between 5 and 10 meters,2814.98394455,919.20345155,3734.1873961,173.033657402,1692.62554511,1865.65920251
Burundi,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,231579.349932,193084.972409,424664.322341,65.5645917216,294.197708993,359.762300715
Haiti,Americas,Caribbean,Low income,IDA,Elevation between 25 and 50 meters,105132.413796,77136.4531665,182268.866962,286.108610299,1191.87945529,1477.98806559
Sierra Leone,Africa,Western Africa,Low income,IDA,Elevation between 50 and 100 meters,28696.2329544,84668.513965,113364.746919,196.356132875,17288.7098536,17485.0659865
Somalia,Africa,Eastern Africa,Low income,IDA,Elevation under 5 meters,6947.22328864,13374.8534918,20322.0767804,15.6940109227,1101.54923914,1117.24325006
Benin,Africa,Western Africa,Low income,IDA,Elevation between 10 and 25 meters,135925.145237,201440.605543,337365.75078,210.888780117,1587.10852681,1797.99730692
South Sudan,Africa,Eastern Africa,Low income,IDA,Elevation between 400 and 800 meters,780.556769609,513136.884597,513917.441366,463.547562122,481725.462667,482189.010229
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 50 and 100 meters,52549.6320093,137524.844341,190074.47635,1211.00836977,5992.1935525,7203.20192228
Ethiopia,Africa,Eastern Africa,Low income,IDA,Elevation between 100 and 200 meters,21.2084630728,5031.4673761,5052.67583917,12.8730384111,5910.42104763,5923.29408604
Yemen,Asia,Western Asia,Low income,IDA,Elevation between 200 and 400 meters,38.0827910006,15772.4244954,15810.5072864,10.8518169522,36080.2637661,36091.1155831
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,4573.67656222,52955.3237757,57529.0003379,701.658805978,106871.369586,107573.028392
Haiti,Americas,Caribbean,Low income,IDA,Elevation between 100 and 200 meters,32230.7611305,47636.6452594,79867.4063899,185.192321725,3285.47278737,3470.66510909
United Republic of Tanzania,Africa,Eastern Africa,Low income,IDA,Elevation under 5 meters,2864.64078507,11966.0190217,14830.6598068,19.7714106183,1233.78494756,1253.55635818
Somalia,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,150.866761819,62776.8717934,62927.7385552,100.936011553,95010.537034,95111.4730455
Democratic Republic of the Congo,Africa,Middle Africa,Low income,IDA,Elevation between 1500 and 3000 meters,245411.969459,2796455.59494,3041867.56439,522.315661877,67058.0851555,67580.4008174
Ethiopia,Africa,Eastern Africa,Low income,IDA,Elevation between 100 and 200 meters,4.06692123413,1326.35762469,1330.42454593,12.8730384111,5910.42104763,5923.29408604
Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Not classified,Elevation between 50 and 100 meters,268801.443459,2822172.34606,3090973.78952,429.853476259,8470.7173661,8900.57084236
Haiti,Americas,Caribbean,Low income,IDA,Elevation under 5 meters,2491.94853668,4490.11595782,6982.06449451,33.1718234997,364.990766526,398.162590025
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 400 and 800 meters,130321.414063,1882019.57503,2012340.98909,244.165795207,14780.8574762,15025.0232714
Togo,Africa,Western Africa,Low income,IDA,Elevation between 200 and 400 meters,348.61777173,17018.1459553,17366.763727,226.1287992,23464.01419,23690.1429892
Liberia,Africa,Western Africa,Low income,IDA,Elevation between 50 and 100 meters,1989.72473526,356900.406713,358890.131448,21.3774621487,11505.1208471,11526.4983093
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 1500 and 3000 meters,52.3288408518,2155.232239,2207.56107985,11.6280553937,1183.77065808,1195.39871347
Madagascar,Africa,Eastern Africa,Low income,IDA,Elevation between 5 and 10 meters,1510.06223578,10045.2635695,11555.3258053,147.883493252,11308.0816193,11455.9651126
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation between 50 and 100 meters,46561.8278224,392506.830709,439068.658531,386.302172661,93757.4563159,94143.7584885
Tajikistan,Asia,Central Asia,Low income,IDA,Elevation between 400 and 800 meters,21051.8839611,43544.191043,64596.0750041,1843.12988266,12999.1277385,14842.2576212
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation between 400 and 800 meters,110856.059836,182110.517507,292966.577343,2394.00711142,86972.1505159,89366.1576274
Haiti,Americas,Caribbean,Low income,IDA,Elevation between 25 and 50 meters,30797.7697182,21622.0610589,52419.8307772,286.108610299,1191.87945529,1477.98806559
Guinea,Africa,Western Africa,Low income,IDA,Elevation between 5 and 10 meters,2665.69867265,3464.18384905,6129.88252171,53.8448270634,1677.69175808,1731.53658514
Mali,Africa,Western Africa,Low income,IDA,Elevation between 200 and 400 meters,296107.765911,1082837.28945,1378945.05536,1263.98150553,1073228.00371,1074491.98522
Burkina Faso,Africa,Western Africa,Low income,IDA,Elevation between 400 and 800 meters,1245.48360181,15542.0182035,16787.5018053,134.234602988,9032.67821158,9166.91281457
Benin,Africa,Western Africa,Low income,IDA,Elevation between 100 and 200 meters,118975.709654,1144843.92474,1263819.63439,457.632659853,18677.239058,19134.8717178
Mali,Africa,Western Africa,Low income,IDA,Elevation between 200 and 400 meters,150569.156241,589124.905606,739694.061846,1263.98150553,1073228.00371,1074491.98522
Yemen,Asia,Western Asia,Low income,IDA,Elevation under 5 meters,2904.48135578,10550.6360699,13455.1174257,45.6590942345,1452.2568566,1497.91595084
Mozambique,Africa,Eastern Africa,Low income,IDA,Elevation under 5 meters,4999.93641801,51185.6689999,56185.605418,95.6948420897,15486.8747096,15582.5695516
Guinea-Bissau,Africa,Western Africa,Low income,IDA,Elevation between 5 and 10 meters,412.489381969,2440.46122372,2852.95060568,30.1564680934,3798.19353075,3828.34999885
Nepal,Asia,Southern Asia,Low income,IDA,Elevation between 100 and 200 meters,91597.2021715,547005.468322,638602.670493,915.868561298,13023.9731283,13939.8416896
Democratic Republic of the Congo,Africa,Middle Africa,Low income,IDA,Elevation under 5 meters,29.7124900675,1386.59592919,1416.30841926,1.93466761625,602.569000849,604.503668465
Syrian Arab Republic,Asia,Western Asia,Low income,IDA,Elevation between 10 and 25 meters,3783.56139439,1468.19957446,5251.76096885,96.8785891966,93.4536316357,190.332220832
Benin,Africa,Western Africa,Low income,IDA,Elevation between 5 and 10 meters,778679.13306,178569.033883,957248.166943,203.393153809,411.068087659,614.461241468
Malawi,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,136799.539747,388170.983218,524970.522965,571.088167459,51236.0742224,51807.1623898
Madagascar,Africa,Eastern Africa,Low income,IDA,Elevation between 800 and 1500 meters,110247.706371,372067.316793,482315.023164,655.68436563,149399.151741,150054.836107
Haiti,Americas,Caribbean,Low income,IDA,Elevation between 100 and 200 meters,26308.1232873,38859.568635,65167.6919223,185.192321725,3285.47278737,3470.66510909
